ID,PredictedProb
0,0.539115
1,0.933493
2,0.608948
7,0.624787
10,0.669654
11,0.449524
13,0.786399
14,0.449524
15,0.933493
16,0.863681
17,0.786399
18,0.863681
19,0.710496
20,0.929472
25,0.812575
26,0.786399
29,0.529505
38,0.949672
41,0.786399
44,0.669654
45,0.640172
47,0.7996
48,0.863681
49,0.786399
50,0.933493
53,0.449524
56,0.632122
59,0.786399
60,0.601681
64,0.786399
65,0.933493
66,0.786399
68,0.863681
69,0.774475
70,0.786399
71,0.699293
72,0.436367
76,0.575527
80,0.786399
82,0.863681
83,0.933493
85,0.786399
86,0.933493
87,0.669654
89,0.715709
97,0.786399
99,0.449524
101,0.786399
102,0.449524
103,0.632122
104,0.591181
106,0.863681
107,0.587315
109,0.786399
111,0.580296
113,0.863681
114,0.539115
118,0.863681
119,0.669654
120,0.710496
123,0.786399
128,0.652979
129,0.669654
131,0.865708
133,0.708847
134,0.786399
136,0.933493
137,0.656079
139,0.786399
140,0.786399
142,0.667398
144,0.710496
146,0.786399
147,0.786399
148,0.863681
150,0.521144
151,0.586609
152,0.933493
155,0.933493
158,0.899242
159,0.539115
160,0.933493
161,0.698616
165,0.933493
166,0.78013
170,0.933493
171,0.786399
174,0.710496
175,0.786399
179,0.710496
180,0.75618
181,0.863681
184,0.710496
185,0.701768
187,0.908842
188,0.933493
190,0.786399
191,0.701768
192,0.710496
193,0.786399
196,0.786399
197,0.539115
198,0.632122
205,0.669654
211,0.669654
213,0.786399
214,0.669654
217,0.669654
218,0.897136
221,0.665722
222,0.656079
225,0.786399
229,0.863681
236,0.786399
237,0.863681
238,0.669654
239,0.974215
242,0.5912
245,0.863681
246,0.73798
247,0.863681
248,0.933493
254,0.863681
255,0.863681
257,0.933493
259,0.732256
264,0.933493
270,0.786399
272,0.786399
274,0.669654
275,0.669654
278,0.715709
280,0.669654
281,0.641561
282,0.395953
283,0.863681
284,0.933493
286,0.786399
287,0.786399
288,0.863681
289,0.786399
290,0.611474
291,0.710496
294,0.539115
295,0.449524
297,0.710496
299,0.715709
305,0.88608
307,0.449524
308,0.786399
313,0.669654
314,0.786399
315,0.863681
316,0.856173
317,0.786399
319,0.710496
322,0.715709
323,0.857362
324,0.608633
326,0.863681
327,0.449524
329,0.933493
330,0.300745
331,0.460756
336,0.0847015
337,0.632122
338,0.863681
340,0.933493
345,0.574629
347,0.786399
348,0.786399
350,0.943815
352,0.539115
356,0.863681
357,0.786399
358,0.933493
359,0.786399
361,0.786399
363,0.487177
364,0.786399
368,0.810451
376,0.933493
378,0.786399
382,0.786399
384,0.669654
385,0.942713
388,0.669654
389,0.933493
391,0.710496
392,0.786399
395,0.786399
396,0.928064
397,0.786399
399,0.786399
404,0.863681
407,0.420939
409,0.786399
410,0.786399
413,0.786399
414,0.635529
416,0.786399
418,0.786399
419,0.786399
420,0.933493
422,0.933493
423,0.863681
427,0.786399
429,0.933493
430,0.401163
431,0.669654
432,0.695097
433,0.786399
434,0.449524
436,0.732256
437,0.786399
451,0.786399
452,0.786399
454,0.732256
457,0.786399
458,0.786399
460,0.786399
461,0.936654
462,0.786399
463,0.863681
465,0.933493
467,0.863681
473,0.890494
474,0.933493
480,0.560982
481,0.863681
483,0.786399
484,0.786399
485,0.710496
487,0.710496
490,0.786399
491,0.669654
492,0.693321
496,0.539115
497,0.786399
498,0.708898
499,0.608633
501,0.863681
502,0.669654
503,0.786399
506,0.863681
507,0.786399
508,0.652979
509,0.786399
510,0.669654
511,0.786399
513,0.786399
515,0.863681
521,0.681009
522,0.786399
523,0.786399
525,0.585398
529,0.786399
530,0.715709
531,0.786399
533,0.786399
534,0.715709
535,0.863681
537,0.669654
541,0.786399
542,0.669654
543,0.786399
544,0.786399
545,0.693448
549,0.786399
550,0.786399
551,0.786399
553,0.786399
556,0.786399
558,0.632122
560,0.933493
563,0.593145
564,0.933493
567,0.574861
572,0.710496
573,0.933493
577,0.598033
583,0.863681
584,0.786399
585,0.786399
586,0.669654
588,0.674625
590,0.786399
591,0.786399
593,0.890494
594,0.786399
597,0.786399
598,0.786399
599,0.863681
603,0.632122
604,0.786399
606,0.933493
607,0.786399
609,0.786399
614,0.863681
615,0.844826
616,0.539115
617,0.786399
618,0.863681
619,0.786399
620,0.863681
623,0.736089
625,0.687434
626,0.863681
627,0.863681
632,0.786399
633,0.669654
634,0.786399
635,0.786399
636,0.886336
637,0.863681
638,0.863681
639,0.786399
642,0.492575
643,0.863681
644,0.933493
645,0.695097
646,0.786399
650,0.936654
653,0.632122
654,0.585398
655,0.618166
656,0.863681
657,0.786399
658,0.660549
660,0.669654
661,0.738031
668,0.933493
669,0.786399
671,0.952247
672,0.786399
676,0.933493
678,0.863681
680,0.786399
682,0.933493
684,0.926992
685,0.863681
686,0.539115
687,0.256846
694,0.618435
696,0.414847
697,0.669654
699,0.449524
702,0.933493
707,0.786399
708,0.863681
712,0.863681
717,0.863681
718,0.933493
720,0.539115
721,0.890494
723,0.786399
724,0.710496
727,0.786399
728,0.669654
731,0.933493
733,0.933493
735,0.933493
737,0.786399
738,0.796397
740,0.732256
742,0.863681
743,0.72402
745,0.786399
746,0.622705
747,0.710496
748,0.933493
749,0.863681
750,0.933493
753,0.786399
755,0.786399
756,0.863681
758,0.669654
760,0.786399
762,0.863681
763,0.715709
765,0.715709
767,0.786399
768,0.933493
770,0.863681
772,0.786399
773,0.812575
774,0.906074
775,0.786399
777,0.221311
778,0.786399
780,0.603342
782,0.791695
783,0.933493
786,0.449524
787,0.933493
788,0.766348
789,0.669654
790,0.669654
793,0.786399
795,0.786399
807,0.786399
809,0.810262
810,0.449524
811,0.863681
813,0.710496
815,0.715709
816,0.635529
821,0.669654
823,0.933493
825,0.786399
826,0.933493
827,0.933493
832,0.786399
833,0.632122
834,0.786059
837,0.786399
838,0.855607
839,0.479431
843,0.449524
844,0.507953
845,0.565232
846,0.810262
848,0.786399
850,0.863681
851,0.863681
852,0.632122
855,0.786399
856,0.863681
861,0.669654
862,0.847676
863,0.863681
864,0.669654
865,0.928064
867,0.786399
868,0.786399
869,0.890494
873,0.786399
875,0.402842
877,0.863681
879,0.786399
880,0.933493
881,0.786399
882,0.603342
883,0.933493
887,0.716
888,0.669654
890,0.933493
897,0.863681
900,0.786399
902,0.786399
904,0.786399
906,0.786399
910,0.786399
913,0.669654
914,0.669654
915,0.669654
918,0.715709
920,0.786399
923,0.863681
926,0.710496
927,0.786399
929,0.616265
930,0.786399
931,0.863681
932,0.786399
933,0.591181
934,0.786399
936,0.669654
939,0.710496
941,0.710496
943,0.572869
947,0.539115
948,0.786399
949,0.863681
950,0.53222
951,0.786399
952,0.632122
953,0.933493
956,0.786399
961,0.463625
962,0.539115
968,0.786399
971,0.786399
972,0.933493
977,0.949672
981,0.715709
985,0.987685
987,0.786399
989,0.933493
993,0.863681
994,0.606503
997,0.933493
998,0.57832
999,0.669654
1002,0.797097
1003,0.933493
1004,0.669654
1005,0.669654
1007,0.786399
1008,0.786399
1014,0.971636
1016,0.863681
1021,0.536649
1023,0.933493
1026,0.786399
1028,0.786399
1029,0.786399
1030,0.863681
1031,0.757288
1032,0.863681
1033,0.933493
1036,0.786399
1037,0.936654
1039,0.591181
1046,0.863681
1047,0.863681
1049,0.933493
1055,0.863681
1057,0.501496
1059,0.701768
1060,0.710496
1062,0.572869
1063,0.669654
1066,0.695097
1067,0.933493
1068,0.513306
1070,0.786399
1071,0.786399
1073,0.786399
1074,0.786399
1075,0.863681
1076,0.786399
1077,0.936654
1079,0.645235
1083,0.786399
1085,0.786399
1087,0.618837
1088,0.560762
1089,0.846619
1092,0.710496
1095,0.786399
1104,0.936654
1106,0.933493
1108,0.539115
1110,0.786399
1117,0.786399
1118,0.669654
1119,0.786399
1121,0.786399
1122,0.903401
1124,0.786399
1125,0.539115
1126,0.669654
1128,0.541792
1129,0.371593
1131,0.539115
1132,0.786399
1133,0.669654
1134,0.502492
1137,0.933493
1138,0.591181
1139,0.786399
1140,0.710496
1141,0.786399
1143,0.703863
1144,0.933493
1145,0.786399
1146,0.933493
1147,0.786399
1149,0.661757
1151,0.715709
1154,0.786399
1156,0.669654
1158,0.786399
1165,0.669654
1166,0.933493
1167,0.710496
1168,0.786399
1169,0.626177
1171,0.632122
1173,0.638168
1175,0.633713
1181,0.710496
1182,0.710496
